Time (s),Temperature (K),Rate Constant k (1/s),Mass Fraction Y (-),Mass m (kg),MLR = -dm/dt (g/s)
6970.57,880.881,1877.44,0,0,0
6978.98,881.582,1910.95,0,0,0
6987.39,882.282,1945,0,0,0
6995.8,882.983,1979.6,0,0,0
7004.2,883.684,2014.76,0,0,0
7012.61,884.384,2050.49,0,0,0
7021.02,885.085,2086.79,0,0,0
7029.43,885.786,2123.68,0,0,0
7037.84,886.486,2161.16,0,0,0
7046.25,887.187,2199.24,0,0,0
7054.65,887.888,2237.93,0,0,0
7063.06,888.589,2277.24,0,0,0
7071.47,889.289,2317.18,0,0,0
7079.88,889.99,2357.75,0,0,0
7088.29,890.691,2398.96,0,0,0
7096.7,891.391,2440.83,0,0,0
7105.11,892.092,2483.37,0,0,0
7113.51,892.793,2526.57,0,0,0
7121.92,893.493,2570.46,0,0,0
7130.33,894.194,2615.04,0,0,0
7138.74,894.895,2660.32,0,0,0
7147.15,895.596,2706.31,0,0,0
7155.56,896.296,2753.03,0,0,0
7163.96,896.997,2800.47,0,0,0
7172.37,897.698,2848.66,0,0,0
7180.78,898.398,2897.6,0,0,0
7189.19,899.099,2947.3,0,0,0
7197.6,899.8,2997.77,0,0,0
7206.01,900.501,3049.03,0,0,0
7214.41,901.201,3101.09,0,0,0
7222.82,901.902,3153.95,0,0,0
7231.23,902.603,3207.62,0,0,0
7239.64,903.303,3262.12,0,0,0
7248.05,904.004,3317.47,0,0,0
7256.46,904.705,3373.66,0,0,0
7264.86,905.405,3430.72,0,0,0
7273.27,906.106,3488.65,0,0,0
7281.68,906.807,3547.47,0,0,0
7290.09,907.508,3607.18,0,0,0
7298.5,908.208,3667.81,0,0,0
7306.91,908.909,3729.36,0,0,0
7315.32,909.61,3791.85,0,0,0
7323.72,910.31,3855.28,0,0,0
7332.13,911.011,3919.68,0,0,0
7340.54,911.712,3985.05,0,0,0
7348.95,912.412,4051.4,0,0,0
7357.36,913.113,4118.76,0,0,0
7365.77,913.814,4187.13,0,0,0
7374.17,914.515,4256.53,0,0,0
7382.58,915.215,4326.97,0,0,0
7390.99,915.916,4398.47,0,0,0
7399.4,916.617,4471.03,0,0,0
7407.81,917.317,4544.68,0,0,0
7416.22,918.018,4619.43,0,0,0
7424.62,918.719,4695.29,0,0,0
7433.03,919.419,4772.27,0,0,0
7441.44,920.12,4850.4,0,0,0
7449.85,920.821,4929.69,0,0,0
7458.26,921.522,5010.14,0,0,0
7466.67,922.222,5091.79,0,0,0
7475.08,922.923,5174.64,0,0,0
7483.48,923.624,5258.71,0,0,0
7491.89,924.324,5344.01,0,0,0
7500.3,925.025,5430.57,0,0,0
7508.71,925.726,5518.39,0,0,0
7517.12,926.426,5607.5,0,0,0
7525.53,927.127,5697.91,0,0,0
7533.93,927.828,5789.63,0,0,0
7542.34,928.529,5882.69,0,0,0
7550.75,929.229,5977.1,0,0,0
7559.16,929.93,6072.89,0,0,0
7567.57,930.631,6170.06,0,0,0
7575.98,931.331,6268.63,0,0,0
7584.38,932.032,6368.63,0,0,0
7592.79,932.733,6470.07,0,0,0
7601.2,933.433,6572.96,0,0,0
7609.61,934.134,6677.34,0,0,0
7618.02,934.835,6783.22,0,0,0
7626.43,935.536,6890.61,0,0,0
7634.83,936.236,6999.53,0,0,0
7643.24,936.937,7110.01,0,0,0
7651.65,937.638,7222.07,0,0,0
7660.06,938.338,7335.72,0,0,0
7668.47,939.039,7450.99,0,0,0
7676.88,939.74,7567.89,0,0,0
7685.29,940.44,7686.44,0,0,0
7693.69,941.141,7806.68,0,0,0
7702.1,941.842,7928.61,0,0,0
7710.51,942.543,8052.26,0,0,0
7718.92,943.243,8177.65,0,0,0
7727.33,943.944,8304.8,0,0,0
7735.74,944.645,8433.74,0,0,0
7744.14,945.345,8564.48,0,0,0
7752.55,946.046,8697.05,0,0,0
7760.96,946.747,8831.47,0,0,0
7769.37,947.447,8967.77,0,0,0
7777.78,948.148,9105.96,0,0,0
7786.19,948.849,9246.07,0,0,0
7794.59,949.55,9388.13,0,0,0
7803,950.25,9532.16,0,0,0
7811.41,950.951,9678.18,0,0,0
7819.82,951.652,9826.22,0,0,0
7828.23,952.352,9976.29,0,0,0
7836.64,953.053,10128.4,0,0,0
7845.05,953.754,10282.7,0,0,0
7853.45,954.454,10439,0,0,0
7861.86,955.155,10597.5,0,0,0
7870.27,955.856,10758.2,0,0,0
7878.68,956.557,10921,0,0,0
7887.09,957.257,11086.1,0,0,0
7895.5,957.958,11253.5,0,0,0
7903.9,958.659,11423.1,0,0,0
7912.31,959.359,11595,0,0,0
7920.72,960.06,11769.2,0,0,0
7929.13,960.761,11945.8,0,0,0
7937.54,961.461,12124.8,0,0,0
7945.95,962.162,12306.2,0,0,0
7954.35,962.863,12490,0,0,0
7962.76,963.564,12676.3,0,0,0
7971.17,964.264,12865.2,0,0,0
7979.58,964.965,13056.5,0,0,0
7987.99,965.666,13250.4,0,0,0
7996.4,966.366,13446.9,0,0,0
8004.8,967.067,13646.1,0,0,0
8013.21,967.768,13847.8,0,0,0
8021.62,968.468,14052.3,0,0,0
8030.03,969.169,14259.5,0,0,0
8038.44,969.87,14469.4,0,0,0
8046.85,970.571,14682.1,0,0,0
8055.26,971.271,14897.7,0,0,0
8063.66,971.972,15116,0,0,0
8072.07,972.673,15337.3,0,0,0
8080.48,973.373,15561.4,0,0,0
8088.89,974.074,15788.6,0,0,0
8097.3,974.775,16018.6,0,0,0
8105.71,975.475,16251.8,0,0,0
8114.11,976.176,16487.9,0,0,0
8122.52,976.877,16727.2,0,0,0
8130.93,977.578,16969.5,0,0,0
8139.34,978.278,17215,0,0,0
8147.75,978.979,17463.8,0,0,0
8156.16,979.68,17715.7,0,0,0
8164.56,980.38,17970.9,0,0,0
8172.97,981.081,18229.4,0,0,0
8181.38,981.782,18491.3,0,0,0
8189.79,982.482,18756.5,0,0,0
8198.2,983.183,19025.2,0,0,0
8206.61,983.884,19297.3,0,0,0
8215.02,984.585,19572.9,0,0,0
8223.42,985.285,19852,0,0,0
8231.83,985.986,20134.8,0,0,0
8240.24,986.687,20421.1,0,0,0
8248.65,987.387,20711.1,0,0,0
8257.06,988.088,21004.8,0,0,0
8265.47,988.789,21302.2,0,0,0
8273.87,989.489,21603.4,0,0,0
8282.28,990.19,21908.5,0,0,0
8290.69,990.891,22217.4,0,0,0
8299.1,991.592,22530.2,0,0,0
8307.51,992.292,22846.9,0,0,0
8315.92,992.993,23167.7,0,0,0
8324.32,993.694,23492.5,0,0,0
8332.73,994.394,23821.4,0,0,0
8341.14,995.095,24154.4,0,0,0
8349.55,995.796,24491.6,0,0,0
8357.96,996.496,24833,0,0,0
8366.37,997.197,25178.7,0,0,0
8374.77,997.898,25528.7,0,0,0
8383.18,998.599,25883.1,0,0,0
8391.59,999.299,26241.9,0,0,0
8400,1000,26605.1,0,0,0
