s,C,C,C,C
Time,"Tz0mm","Tz100mm","Tz50mm","Tz75mm"
 6.3000000E+002, 5.7612375E+001, 2.5000000E+001, 2.5015623E+001, 2.5000012E+001
 6.4000000E+002, 5.7723793E+001, 2.5000000E+001, 2.5017315E+001, 2.5000015E+001
 6.5000000E+002, 5.7833186E+001, 2.5000000E+001, 2.5019133E+001, 2.5000018E+001
 6.6000000E+002, 5.7940618E+001, 2.5000000E+001, 2.5021083E+001, 2.5000022E+001
 6.7000000E+002, 5.8046148E+001, 2.5000000E+001, 2.5023169E+001, 2.5000026E+001
 6.8000000E+002, 5.8149835E+001, 2.5000000E+001, 2.5025394E+001, 2.5000031E+001
 6.9000000E+002, 5.8251732E+001, 2.5000000E+001, 2.5027765E+001, 2.5000037E+001
 7.0000000E+002, 5.8351894E+001, 2.5000000E+001, 2.5030284E+001, 2.5000044E+001
 7.1000000E+002, 5.8450370E+001, 2.5000000E+001, 2.5032956E+001, 2.5000053E+001
 7.2000000E+002, 5.8547208E+001, 2.5000000E+001, 2.5035785E+001, 2.5000062E+001
 7.3000000E+002, 5.8642457E+001, 2.5000000E+001, 2.5038775E+001, 2.5000072E+001
 7.4000000E+002, 5.8736158E+001, 2.5000000E+001, 2.5041930E+001, 2.5000085E+001
 7.5000000E+002, 5.8828357E+001, 2.5000000E+001, 2.5045252E+001, 2.5000098E+001
 7.6000000E+002, 5.8919093E+001, 2.5000000E+001, 2.5048747E+001, 2.5000114E+001
 7.7000000E+002, 5.9008406E+001, 2.5000000E+001, 2.5052416E+001, 2.5000132E+001
 7.8000000E+002, 5.9096335E+001, 2.5000000E+001, 2.5056264E+001, 2.5000152E+001
 7.9000000E+002, 5.9182915E+001, 2.5000000E+001, 2.5060292E+001, 2.5000174E+001
 8.0000000E+002, 5.9268183E+001, 2.5000000E+001, 2.5064505E+001, 2.5000199E+001
 8.1000000E+002, 5.9352171E+001, 2.5000000E+001, 2.5068904E+001, 2.5000226E+001
 8.2000000E+002, 5.9434912E+001, 2.5000000E+001, 2.5073493E+001, 2.5000257E+001
 8.3000000E+002, 5.9516438E+001, 2.5000000E+001, 2.5078274E+001, 2.5000292E+001
 8.4000000E+002, 5.9596780E+001, 2.5000000E+001, 2.5083249E+001, 2.5000329E+001
 8.5000000E+002, 5.9675965E+001, 2.5000000E+001, 2.5088420E+001, 2.5000371E+001
 8.6000000E+002, 5.9754024E+001, 2.5000001E+001, 2.5093789E+001, 2.5000417E+001
 8.7000000E+002, 5.9830982E+001, 2.5000001E+001, 2.5099358E+001, 2.5000468E+001
 8.8000000E+002, 5.9906867E+001, 2.5000001E+001, 2.5105130E+001, 2.5000523E+001
 8.9000000E+002, 5.9981703E+001, 2.5000001E+001, 2.5111105E+001, 2.5000583E+001
 9.0000000E+002, 6.0055515E+001, 2.5000001E+001, 2.5117285E+001, 2.5000649E+001
 9.1000000E+002, 6.0128327E+001, 2.5000001E+001, 2.5123671E+001, 2.5000721E+001
 9.2000000E+002, 6.0200162E+001, 2.5000002E+001, 2.5130265E+001, 2.5000799E+001
 9.3000000E+002, 6.0271042E+001, 2.5000002E+001, 2.5137067E+001, 2.5000883E+001
 9.4000000E+002, 6.0340988E+001, 2.5000002E+001, 2.5144079E+001, 2.5000975E+001
 9.5000000E+002, 6.0410022E+001, 2.5000003E+001, 2.5151301E+001, 2.5001074E+001
 9.6000000E+002, 6.0478163E+001, 2.5000003E+001, 2.5158735E+001, 2.5001181E+001
 9.7000000E+002, 6.0545432E+001, 2.5000004E+001, 2.5166380E+001, 2.5001296E+001
 9.8000000E+002, 6.0611846E+001, 2.5000004E+001, 2.5174238E+001, 2.5001419E+001
 9.9000000E+002, 6.0677425E+001, 2.5000005E+001, 2.5182308E+001, 2.5001552E+001
 1.0000000E+003, 6.0742186E+001, 2.5000006E+001, 2.5190591E+001, 2.5001694E+001
 1.0100000E+003, 6.0806146E+001, 2.5000007E+001, 2.5199088E+001, 2.5001846E+001
 1.0200000E+003, 6.0869322E+001, 2.5000008E+001, 2.5207797E+001, 2.5002009E+001
 1.0300000E+003, 6.0931731E+001, 2.5000009E+001, 2.5216720E+001, 2.5002182E+001
 1.0400000E+003, 6.0993387E+001, 2.5000010E+001, 2.5225856E+001, 2.5002367E+001
 1.0500000E+003, 6.1054307E+001, 2.5000012E+001, 2.5235205E+001, 2.5002564E+001
 1.0600000E+003, 6.1114505E+001, 2.5000013E+001, 2.5244767E+001, 2.5002774E+001
 1.0700000E+003, 6.1173996E+001, 2.5000015E+001, 2.5254541E+001, 2.5002996E+001
 1.0800000E+003, 6.1232794E+001, 2.5000017E+001, 2.5264527E+001, 2.5003231E+001
 1.0900000E+003, 6.1290911E+001, 2.5000019E+001, 2.5274724E+001, 2.5003481E+001
 1.1000000E+003, 6.1348363E+001, 2.5000022E+001, 2.5285133E+001, 2.5003745E+001
 1.1100000E+003, 6.1405161E+001, 2.5000024E+001, 2.5295751E+001, 2.5004024E+001
 1.1200000E+003, 6.1461318E+001, 2.5000028E+001, 2.5306579E+001, 2.5004319E+001
 1.1300000E+003, 6.1516846E+001, 2.5000031E+001, 2.5317615E+001, 2.5004630E+001
 1.1400000E+003, 6.1571757E+001, 2.5000035E+001, 2.5328860E+001, 2.5004957E+001
 1.1500000E+003, 6.1626062E+001, 2.5000039E+001, 2.5340311E+001, 2.5005302E+001
 1.1600000E+003, 6.1679774E+001, 2.5000043E+001, 2.5351968E+001, 2.5005664E+001
 1.1700000E+003, 6.1732903E+001, 2.5000048E+001, 2.5363830E+001, 2.5006045E+001
 1.1800000E+003, 6.1785458E+001, 2.5000054E+001, 2.5375896E+001, 2.5006444E+001
 1.1900000E+003, 6.1837452E+001, 2.5000060E+001, 2.5388165E+001, 2.5006863E+001
 1.2000000E+003, 6.1888894E+001, 2.5000066E+001, 2.5400635E+001, 2.5007302E+001
 1.2100000E+003, 6.1939794E+001, 2.5000073E+001, 2.5413306E+001, 2.5007762E+001
 1.2200000E+003, 6.1990161E+001, 2.5000081E+001, 2.5426175E+001, 2.5008242E+001
 1.2300000E+003, 6.2040005E+001, 2.5000090E+001, 2.5439243E+001, 2.5008744E+001
 1.2400000E+003, 6.2089335E+001, 2.5000099E+001, 2.5452507E+001, 2.5009269E+001
 1.2500000E+003, 6.2138160E+001, 2.5000109E+001, 2.5465966E+001, 2.5009816E+001
 1.2600000E+003, 6.2186489E+001, 2.5000119E+001, 2.5479619E+001, 2.5010387E+001
 1.2700000E+003, 6.2234329E+001, 2.5000131E+001, 2.5493464E+001, 2.5010981E+001
 1.2800000E+003, 6.2281691E+001, 2.5000144E+001, 2.5507500E+001, 2.5011600E+001
 1.2900000E+003, 6.2328580E+001, 2.5000157E+001, 2.5521725E+001, 2.5012244E+001
 1.3000000E+003, 6.2375006E+001, 2.5000172E+001, 2.5536138E+001, 2.5012913E+001
 1.3100000E+003, 6.2420976E+001, 2.5000188E+001, 2.5550737E+001, 2.5013609E+001
 1.3200000E+003, 6.2466498E+001, 2.5000204E+001, 2.5565521E+001, 2.5014331E+001
 1.3300000E+003, 6.2511579E+001, 2.5000223E+001, 2.5580488E+001, 2.5015081E+001
