s,C,C,C,C,C,C
Time,"TS_x195-40","TS_x145-30","TS_x095-20","TS_x025-40","TS_x195-01","TS_x025-01"
 4.4000000E+002, 7.7631983E+002, 5.2639964E+002, 2.2923354E+002, 1.4368623E+002, 7.8711057E+001, 3.7057088E+001
 4.5000000E+002, 7.7654961E+002, 5.2859882E+002, 2.3208918E+002, 1.4662971E+002, 8.1150598E+001, 3.8115942E+001
 4.6000000E+002, 7.7673900E+002, 5.3041786E+002, 2.3447766E+002, 1.4910292E+002, 8.3239987E+001, 3.9038132E+001
 4.7000000E+002, 7.7695161E+002, 5.3246721E+002, 2.3719806E+002, 1.5193159E+002, 8.5674272E+001, 4.0129991E+001
 4.8000000E+002, 7.7715573E+002, 5.3444223E+002, 2.3985021E+002, 1.5470064E+002, 8.8103567E+001, 4.1237954E+001
 4.9000000E+002, 7.7732432E+002, 5.3607900E+002, 2.4207140E+002, 1.5702782E+002, 9.0180823E+001, 4.2199615E+001
 5.0000000E+002, 7.7751395E+002, 5.3792646E+002, 2.4460454E+002, 1.5969022E+002, 9.2597364E+001, 4.3334590E+001
 5.1000000E+002, 7.7769639E+002, 5.3971040E+002, 2.4707749E+002, 1.6229740E+002, 9.5005370E+001, 4.4482640E+001
 5.2000000E+002, 7.7784735E+002, 5.4119145E+002, 2.4915119E+002, 1.6448933E+002, 9.7061795E+001, 4.5476357E+001
 5.3000000E+002, 7.7801746E+002, 5.4286603E+002, 2.5151900E+002, 1.6699799E+002, 9.9451275E+001, 4.6646160E+001
 5.4000000E+002, 7.7818143E+002, 5.4448599E+002, 2.5383353E+002, 1.6945572E+002, 1.0182951E+002, 4.7826396E+001
 5.5000000E+002, 7.7831734E+002, 5.4583312E+002, 2.5577666E+002, 1.7152292E+002, 1.0385844E+002, 4.8845693E+001
 5.6000000E+002, 7.7847076E+002, 5.4735875E+002, 2.5799794E+002, 1.7388994E+002, 1.0621376E+002, 5.0043110E+001
 5.7000000E+002, 7.7861891E+002, 5.4883712E+002, 2.6017185E+002, 1.7621013E+002, 1.0855578E+002, 5.1248671E+001
 5.8000000E+002, 7.7874190E+002, 5.5006842E+002, 2.6199894E+002, 1.7816264E+002, 1.1055221E+002, 5.2287941E+001
 5.9000000E+002, 7.7888096E+002, 5.5146499E+002, 2.6408981E+002, 1.8039949E+002, 1.1286804E+002, 5.3506736E+001
 6.0000000E+002, 7.7901546E+002, 5.5282046E+002, 2.6613842E+002, 1.8259336E+002, 1.1516907E+002, 5.4731705E+001
 6.1000000E+002, 7.7912730E+002, 5.5395104E+002, 2.6786198E+002, 1.8444058E+002, 1.1712927E+002, 5.5786123E+001
 6.2000000E+002, 7.7925393E+002, 5.5523520E+002, 2.6983635E+002, 1.8655800E+002, 1.1940172E+002, 5.7020938E+001
 6.3000000E+002, 7.7937661E+002, 5.5648345E+002, 2.7177288E+002, 1.8863600E+002, 1.2165829E+002, 5.8260243E+001
 6.4000000E+002, 7.7947877E+002, 5.5752603E+002, 2.7340370E+002, 1.9038667E+002, 1.2357961E+002, 5.9325674E+001
 6.5000000E+002, 7.7959460E+002, 5.5871183E+002, 2.7527360E+002, 1.9239458E+002, 1.2580592E+002, 6.0571931E+001
 6.6000000E+002, 7.7970698E+002, 5.5986612E+002, 2.7710948E+002, 1.9436636E+002, 1.2801561E+002, 6.1821239E+001
 6.7000000E+002, 7.7980069E+002, 5.6083148E+002, 2.7865694E+002, 1.9602853E+002, 1.2989624E+002, 6.2894161E+001
 6.8000000E+002, 7.7990710E+002, 5.6193084E+002, 2.8043281E+002, 1.9793608E+002, 1.3207457E+002, 6.4147960E+001
 6.9000000E+002, 7.8001048E+002, 5.6300243E+002, 2.8217799E+002, 1.9981052E+002, 1.3423581E+002, 6.5403589E+001
 7.0000000E+002, 7.8009679E+002, 5.6389972E+002, 2.8365023E+002, 2.0139158E+002, 1.3607461E+002, 6.6481011E+001
 7.1000000E+002, 7.8019493E+002, 5.6492281E+002, 2.8534117E+002, 2.0320715E+002, 1.3820384E+002, 6.7739045E+001
 7.2000000E+002, 7.8029041E+002, 5.6592133E+002, 2.8700431E+002, 2.0499236E+002, 1.4031574E+002, 6.8997877E+001
 7.3000000E+002, 7.8037022E+002, 5.6675841E+002, 2.8840845E+002, 2.0649907E+002, 1.4211210E+002, 7.0077268E+001
 7.4000000E+002, 7.8046107E+002, 5.6771394E+002, 2.9002240E+002, 2.0823030E+002, 1.4419170E+002, 7.1336744E+001
 7.5000000E+002, 7.8054958E+002, 5.6864765E+002, 2.9161111E+002, 2.0993370E+002, 1.4625390E+002, 7.2596148E+001
 7.6000000E+002, 7.8062366E+002, 5.6943126E+002, 2.9295338E+002, 2.1137223E+002, 1.4800765E+002, 7.3675376E+001
 7.7000000E+002, 7.8070808E+002, 5.7032673E+002, 2.9449732E+002, 2.1302611E+002, 1.5003756E+002, 7.4933943E+001
 7.8000000E+002, 7.8079043E+002, 5.7120275E+002, 2.9601825E+002, 2.1465444E+002, 1.5205013E+002, 7.6191708E+001
 7.9000000E+002, 7.8085943E+002, 5.7193872E+002, 2.9730414E+002, 2.1603039E+002, 1.5376142E+002, 7.7268983E+001
 8.0000000E+002, 7.8093815E+002, 5.7278061E+002, 2.9878421E+002, 2.1761326E+002, 1.5574192E+002, 7.8524670E+001
 8.1000000E+002, 7.8101503E+002, 5.7360511E+002, 3.0024325E+002, 2.1917267E+002, 1.5770526E+002, 7.9778945E+001
 8.2000000E+002, 7.8107951E+002, 5.7429849E+002, 3.0147760E+002, 2.2049115E+002, 1.5937453E+002, 8.0852772E+001
 8.3000000E+002, 7.8115316E+002, 5.7509243E+002, 3.0289923E+002, 2.2200879E+002, 1.6130621E+002, 8.2103934E+001
 8.4000000E+002, 7.8122516E+002, 5.7587078E+002, 3.0430158E+002, 2.2350486E+002, 1.6322099E+002, 8.3353178E+001
 8.5000000E+002, 7.8128563E+002, 5.7652596E+002, 3.0548866E+002, 2.2477051E+002, 1.6484885E+002, 8.4422313E+001
 8.6000000E+002, 7.8135475E+002, 5.7727686E+002, 3.0685667E+002, 2.2622816E+002, 1.6673252E+002, 8.5667587E+001
 8.7000000E+002, 7.8142241E+002, 5.7801373E+002, 3.0820694E+002, 2.2766596E+002, 1.6859960E+002, 8.6910522E+001
 8.8000000E+002, 7.8147927E+002, 5.7863455E+002, 3.0935058E+002, 2.2888299E+002, 1.7018686E+002, 8.7973936E+001
 8.9000000E+002, 7.8154435E+002, 5.7934668E+002, 3.1066924E+002, 2.3028541E+002, 1.7202348E+002, 8.9212193E+001
 9.0000000E+002, 7.8160811E+002, 5.8004616E+002, 3.1197154E+002, 2.3166955E+002, 1.7384389E+002, 9.0447768E+001
 9.1000000E+002, 7.8166175E+002, 5.8063598E+002, 3.1307513E+002, 2.3284179E+002, 1.7539145E+002, 9.1504616E+001
 9.2000000E+002, 7.8172319E+002, 5.8131312E+002, 3.1434826E+002, 2.3419331E+002, 1.7718213E+002, 9.2734934E+001
 9.3000000E+002, 7.8178346E+002, 5.8197881E+002, 3.1560628E+002, 2.3552797E+002, 1.7895701E+002, 9.3962287E+001
 9.4000000E+002, 7.8183420E+002, 5.8254059E+002, 3.1667286E+002, 2.3665889E+002, 1.8046588E+002, 9.5011881E+001
