s,C,C,C,C,C,C
Time,"TS_x195-40","TS_x145-30","TS_x095-20","TS_x025-40","TS_x195-01","TS_x025-01"
 1.9600000E+003, 7.8518033E+002, 6.2170978E+002, 3.9979149E+002, 3.2455164E+002, 2.9985698E+002, 1.9695731E+002
 1.9700000E+003, 7.8520372E+002, 6.2199264E+002, 4.0042864E+002, 3.2523604E+002, 3.0073945E+002, 1.9784582E+002
 1.9800000E+003, 7.8522701E+002, 6.2227424E+002, 4.0106312E+002, 3.2591786E+002, 3.0161750E+002, 1.9873155E+002
 1.9900000E+003, 7.8524688E+002, 6.2251463E+002, 4.0160487E+002, 3.2650025E+002, 3.0236664E+002, 1.9948854E+002
 2.0000000E+003, 7.8526997E+002, 6.2279394E+002, 4.0223448E+002, 3.2717734E+002, 3.0323661E+002, 2.0036914E+002
 2.0100000E+003, 7.8529295E+002, 6.2307203E+002, 4.0286152E+002, 3.2785193E+002, 3.0410231E+002, 2.0124699E+002
 2.0200000E+003, 7.8531257E+002, 6.2330944E+002, 4.0339693E+002, 3.2842818E+002, 3.0484097E+002, 2.0199727E+002
 2.0300000E+003, 7.8533537E+002, 6.2358532E+002, 4.0401924E+002, 3.2909817E+002, 3.0569885E+002, 2.0287006E+002
 2.0400000E+003, 7.8535806E+002, 6.2386003E+002, 4.0463903E+002, 3.2976574E+002, 3.0655259E+002, 2.0374016E+002
 2.0500000E+003, 7.8537744E+002, 6.2409457E+002, 4.0516830E+002, 3.3033601E+002, 3.0728110E+002, 2.0448381E+002
 2.0600000E+003, 7.8539996E+002, 6.2436713E+002, 4.0578350E+002, 3.3099912E+002, 3.0812727E+002, 2.0534892E+002
 2.0700000E+003, 7.8542238E+002, 6.2463856E+002, 4.0639626E+002, 3.3165985E+002, 3.0896943E+002, 2.0621137E+002
 2.0800000E+003, 7.8544152E+002, 6.2487032E+002, 4.0691956E+002, 3.3222432E+002, 3.0968812E+002, 2.0694849E+002
 2.0900000E+003, 7.8546377E+002, 6.2513967E+002, 4.0752785E+002, 3.3288071E+002, 3.1052294E+002, 2.0780603E+002
 2.1000000E+003, 7.8548592E+002, 6.2540793E+002, 4.0813377E+002, 3.3353479E+002, 3.1135388E+002, 2.0866093E+002
 2.1100000E+003, 7.8550484E+002, 6.2563700E+002, 4.0865125E+002, 3.3409361E+002, 3.1206305E+002, 2.0939163E+002
 2.1200000E+003, 7.8552682E+002, 6.2590325E+002, 4.0925282E+002, 3.3474346E+002, 3.1288687E+002, 2.1024169E+002
 2.1300000E+003, 7.8554872E+002, 6.2616843E+002, 4.0985208E+002, 3.3539107E+002, 3.1370693E+002, 2.1108916E+002
 2.1400000E+003, 7.8556741E+002, 6.2639489E+002, 4.1036391E+002, 3.3594438E+002, 3.1440687E+002, 2.1181351E+002
 2.1500000E+003, 7.8558914E+002, 6.2665812E+002, 4.1095894E+002, 3.3658787E+002, 3.1522003E+002, 2.1265621E+002
 2.1600000E+003, 7.8561079E+002, 6.2692032E+002, 4.1155171E+002, 3.3722916E+002, 3.1602954E+002, 2.1349635E+002
 2.1700000E+003, 7.8562927E+002, 6.2714425E+002, 4.1205803E+002, 3.3777710E+002, 3.1672052E+002, 2.1421445E+002
 2.1800000E+003, 7.8565076E+002, 6.2740456E+002, 4.1264668E+002, 3.3841437E+002, 3.1752334E+002, 2.1504989E+002
 2.1900000E+003, 7.8567216E+002, 6.2766387E+002, 4.1323314E+002, 3.3904950E+002, 3.1832260E+002, 2.1588280E+002
 2.2000000E+003, 7.8569044E+002, 6.2788534E+002, 4.1373408E+002, 3.3959221E+002, 3.1900489E+002, 2.1659474E+002
 2.2100000E+003, 7.8571169E+002, 6.2814280E+002, 4.1431652E+002, 3.4022341E+002, 3.1979766E+002, 2.1742301E+002
 2.2200000E+003, 7.8573285E+002, 6.2839930E+002, 4.1489681E+002, 3.4085253E+002, 3.2058699E+002, 2.1824880E+002
 2.2300000E+003, 7.8575093E+002, 6.2861838E+002, 4.1539252E+002, 3.4139012E+002, 3.2126083E+002, 2.1895465E+002
 2.2400000E+003, 7.8577195E+002, 6.2887308E+002, 4.1596889E+002, 3.4201540E+002, 3.2204385E+002, 2.1977586E+002
 2.2500000E+003, 7.8579289E+002, 6.2912684E+002, 4.1654318E+002, 3.4263864E+002, 3.2282351E+002, 2.2059462E+002
 2.2600000E+003, 7.8581077E+002, 6.2934360E+002, 4.1703377E+002, 3.4317123E+002, 3.2348916E+002, 2.2129447E+002
 2.2700000E+003, 7.8583157E+002, 6.2959562E+002, 4.1760422E+002, 3.4379072E+002, 3.2426269E+002, 2.2210871E+002
 2.2800000E+003, 7.8585228E+002, 6.2984671E+002, 4.1817264E+002, 3.4440821E+002, 3.2503297E+002, 2.2292054E+002
 2.2900000E+003, 7.8586998E+002, 6.3006121E+002, 4.1865824E+002, 3.4493591E+002, 3.2569064E+002, 2.2361447E+002
 2.3000000E+003, 7.8589056E+002, 6.3031061E+002, 4.1922291E+002, 3.4554974E+002, 3.2645496E+002, 2.2442184E+002
 2.3100000E+003, 7.8591106E+002, 6.3055911E+002, 4.1978559E+002, 3.4616161E+002, 3.2721611E+002, 2.2522683E+002
 2.3200000E+003, 7.8592857E+002, 6.3077140E+002, 4.2026631E+002, 3.4668453E+002, 3.2786602E+002, 2.2591492E+002
 2.3300000E+003, 7.8594894E+002, 6.3101825E+002, 4.2082534E+002, 3.4729281E+002, 3.2862137E+002, 2.2671551E+002
 2.3400000E+003, 7.8596923E+002, 6.3126423E+002, 4.2138241E+002, 3.4789918E+002, 3.2937363E+002, 2.2751375E+002
 2.3500000E+003, 7.8598656E+002, 6.3147437E+002, 4.2185837E+002, 3.4841741E+002, 3.3001600E+002, 2.2819608E+002
 2.3600000E+003, 7.8600672E+002, 6.3171873E+002, 4.2241186E+002, 3.4902026E+002, 3.3076262E+002, 2.2898998E+002
 2.3700000E+003, 7.8602681E+002, 6.3196224E+002, 4.2296346E+002, 3.4962124E+002, 3.3150624E+002, 2.2978155E+002
 2.3800000E+003, 7.8604397E+002, 6.3217028E+002, 4.2343475E+002, 3.5013488E+002, 3.3214126E+002, 2.3045821E+002
 2.3900000E+003, 7.8606392E+002, 6.3241222E+002, 4.2398285E+002, 3.5073241E+002, 3.3287938E+002, 2.3124550E+002
 2.4000000E+003, 7.8608381E+002, 6.3265332E+002, 4.2452908E+002, 3.5132810E+002, 3.3361457E+002, 2.3203050E+002
 2.4100000E+003, 7.8610080E+002, 6.3285932E+002, 4.2499580E+002, 3.5183725E+002, 3.3424243E+002, 2.3270155E+002
 2.4200000E+003, 7.8612056E+002, 6.3309888E+002, 4.2553861E+002, 3.5242956E+002, 3.3497227E+002, 2.3348232E+002
 2.4300000E+003, 7.8614026E+002, 6.3333763E+002, 4.2607959E+002, 3.5302007E+002, 3.3569926E+002, 2.3426084E+002
 2.4400000E+003, 7.8615708E+002, 6.3354163E+002, 4.2654185E+002, 3.5352480E+002, 3.3632015E+002, 2.3492634E+002
 2.4500000E+003, 7.8617665E+002, 6.3377888E+002, 4.2707948E+002, 3.5411200E+002, 3.3704191E+002, 2.3570069E+002
 2.4600000E+003, 7.8619615E+002, 6.3401533E+002, 4.2761532E+002, 3.5469743E+002, 3.3776090E+002, 2.3647280E+002
 2.4700000E+003, 7.8621282E+002, 6.3421737E+002, 4.2807320E+002, 3.5519783E+002, 3.3837498E+002, 2.3713284E+002
 2.4800000E+003, 7.8623220E+002, 6.3445235E+002, 4.2860575E+002, 3.5578001E+002, 3.3908887E+002, 2.3790083E+002
 2.4900000E+003, 7.8625151E+002, 6.3468655E+002, 4.2913655E+002, 3.5636045E+002, 3.3980005E+002, 2.3866662E+002
 2.5000000E+003, 7.8626802E+002, 6.3488668E+002, 4.2959014E+002, 3.5685660E+002, 3.4040750E+002, 2.3932127E+002
 2.5100000E+003, 7.8628722E+002, 6.3511945E+002, 4.3011772E+002, 3.5743384E+002, 3.4111371E+002, 2.4008299E+002
 2.5200000E+003, 7.8630635E+002, 6.3535145E+002, 4.3064359E+002, 3.5800938E+002, 3.4181728E+002, 2.4084254E+002
 2.5300000E+003, 7.8632271E+002, 6.3554971E+002, 4.3109297E+002, 3.5850135E+002, 3.4241824E+002, 2.4149185E+002
 2.5400000E+003, 7.8634173E+002, 6.3578031E+002, 4.3161567E+002, 3.5907376E+002, 3.4311695E+002, 2.4224739E+002
 2.5500000E+003, 7.8636068E+002, 6.3601015E+002, 4.3213669E+002, 3.5964448E+002, 3.4381308E+002, 2.4300077E+002
 2.5600000E+003, 7.8637688E+002, 6.3620658E+002, 4.3258195E+002, 3.6013235E+002, 3.4440772E+002, 2.4364483E+002
 2.5700000E+003, 7.8639573E+002, 6.3643505E+002, 4.3309987E+002, 3.6069999E+002, 3.4509911E+002, 2.4439425E+002
 2.5800000E+003, 7.8641451E+002, 6.3666279E+002, 4.3361613E+002, 3.6126599E+002, 3.4578797E+002, 2.4514155E+002
 2.5900000E+003, 7.8643056E+002, 6.3685741E+002, 4.3405734E+002, 3.6174982E+002, 3.4637644E+002, 2.4578041E+002
 2.6000000E+003, 7.8644924E+002, 6.3708380E+002, 4.3457057E+002, 3.6231278E+002, 3.4706067E+002, 2.4652380E+002
 2.6100000E+003, 7.8646785E+002, 6.3730947E+002, 4.3508217E+002, 3.6287413E+002, 3.4774243E+002, 2.4726509E+002
 2.6200000E+003, 7.8648376E+002, 6.3750234E+002, 4.3551940E+002, 3.6335399E+002, 3.4832485E+002, 2.4789882E+002
 2.6300000E+003, 7.8650226E+002, 6.3772668E+002, 4.3602802E+002, 3.6391235E+002, 3.4900209E+002, 2.4863624E+002
 2.6400000E+003, 7.8652071E+002, 6.3795033E+002, 4.3653504E+002, 3.6446912E+002, 3.4967691E+002, 2.4937159E+002
 2.6500000E+003, 7.8653647E+002, 6.3814146E+002, 4.3696837E+002, 3.6494508E+002, 3.5025342E+002, 2.5000025E+002
 2.6600000E+003, 7.8655481E+002, 6.3836381E+002, 4.3747246E+002, 3.6549891E+002, 3.5092381E+002, 2.5073179E+002
 2.6700000E+003, 7.8657309E+002, 6.3858546E+002, 4.3797498E+002, 3.6605117E+002, 3.5159185E+002, 2.5146127E+002
 2.6800000E+003, 7.8658872E+002, 6.3877490E+002, 4.3840448E+002, 3.6652329E+002, 3.5216258E+002, 2.5208493E+002
 2.6900000E+003, 7.8660690E+002, 6.3899528E+002, 4.3890412E+002, 3.6707267E+002, 3.5282628E+002, 2.5281065E+002
 2.7000000E+003, 7.8662502E+002, 6.3921498E+002, 4.3940222E+002, 3.6762049E+002, 3.5348767E+002, 2.5353434E+002
 2.7100000E+003, 7.8664051E+002, 6.3940275E+002, 4.3982795E+002, 3.6808883E+002, 3.5405275E+002, 2.5415305E+002
 2.7200000E+003, 7.8665853E+002, 6.3962120E+002, 4.4032322E+002, 3.6863382E+002, 3.5470990E+002, 2.5487302E+002
 2.7300000E+003, 7.8667649E+002, 6.3983898E+002, 4.4081697E+002, 3.6917728E+002, 3.5536478E+002, 2.5559099E+002
 2.7400000E+003, 7.8669185E+002, 6.4002512E+002, 4.4123900E+002, 3.6964190E+002, 3.5592432E+002, 2.5620481E+002
 2.7500000E+003, 7.8670971E+002, 6.4024167E+002, 4.4172997E+002, 3.7018255E+002, 3.5657505E+002, 2.5691910E+002
 2.7600000E+003, 7.8672752E+002, 6.4045757E+002, 4.4221945E+002, 3.7072171E+002, 3.5722356E+002, 2.5763142E+002
 2.7700000E+003, 7.8674274E+002, 6.4064210E+002, 4.4263783E+002, 3.7118266E+002, 3.5777768E+002, 2.5824041E+002
 2.7800000E+003, 7.8676045E+002, 6.4085679E+002, 4.4312457E+002, 3.7171906E+002, 3.5842212E+002, 2.5894909E+002
 2.7900000E+003, 7.8677811E+002, 6.4107084E+002, 4.4360985E+002, 3.7225398E+002, 3.5906440E+002, 2.5965582E+002
 2.8000000E+003, 7.8679320E+002, 6.4125379E+002, 4.4402465E+002, 3.7271132E+002, 3.5961320E+002, 2.6026004E+002
 2.8100000E+003, 7.8681076E+002, 6.4146665E+002, 4.4450724E+002, 3.7324352E+002, 3.6025148E+002, 2.6096317E+002
 2.8200000E+003, 7.8682827E+002, 6.4167888E+002, 4.4498838E+002, 3.7377427E+002, 3.6088763E+002, 2.6166438E+002
 2.8300000E+003, 7.8684324E+002, 6.4186028E+002, 4.4539965E+002, 3.7422804E+002, 3.6143123E+002, 2.6226388E+002
 2.8400000E+003, 7.8686065E+002, 6.4207134E+002, 4.4587814E+002, 3.7475610E+002, 3.6206347E+002, 2.6296153E+002
 2.8500000E+003, 7.8687801E+002, 6.4228177E+002, 4.4635522E+002, 3.7528273E+002, 3.6269362E+002, 2.6365728E+002
 2.8600000E+003, 7.8689285E+002, 6.4246165E+002, 4.4676302E+002, 3.7573299E+002, 3.6323211E+002, 2.6425213E+002
 2.8700000E+003, 7.8691012E+002, 6.4267093E+002, 4.4723748E+002, 3.7625697E+002, 3.6385842E+002, 2.6494436E+002
 2.8800000E+003, 7.8692733E+002, 6.4287960E+002, 4.4771055E+002, 3.7677954E+002, 3.6448269E+002, 2.6563472E+002
 2.8900000E+003, 7.8694205E+002, 6.4305798E+002, 4.4811493E+002, 3.7722633E+002, 3.6501616E+002, 2.6622496E+002
 2.9000000E+003, 7.8695917E+002, 6.4326552E+002, 4.4858543E+002, 3.7774629E+002, 3.6563667E+002, 2.6691183E+002
 2.9100000E+003, 7.8697625E+002, 6.4347246E+002, 4.4905455E+002, 3.7826486E+002, 3.6625516E+002, 2.6759685E+002
 2.9200000E+003, 7.8699084E+002, 6.4364935E+002, 4.4945556E+002, 3.7870823E+002, 3.6678371E+002, 2.6818254E+002
 2.9300000E+003, 7.8700783E+002, 6.4385518E+002, 4.4992215E+002, 3.7922422E+002, 3.6739851E+002, 2.6886413E+002
 2.9400000E+003, 7.8702476E+002, 6.4406041E+002, 4.5038739E+002, 3.7973883E+002, 3.6801134E+002, 2.6954388E+002
 2.9500000E+003, 7.8703924E+002, 6.4423585E+002, 4.5078509E+002, 3.8017884E+002, 3.6853506E+002, 2.7012506E+002
 2.9600000E+003, 7.8705608E+002, 6.4443998E+002, 4.5124783E+002, 3.8069091E+002, 3.6914426E+002, 2.7080141E+002
 2.9700000E+003, 7.8707288E+002, 6.4464353E+002, 4.5170924E+002, 3.8120162E+002, 3.6975152E+002, 2.7147595E+002
 2.9800000E+003, 7.8708724E+002, 6.4481754E+002, 4.5210367E+002, 3.8163830E+002, 3.7027050E+002, 2.7205268E+002
 2.9900000E+003, 7.8710395E+002, 6.4502001E+002, 4.5256262E+002, 3.8214650E+002, 3.7087419E+002, 2.7272387E+002
 3.0000000E+003, 7.8712061E+002, 6.4522190E+002, 4.5302025E+002, 3.8265336E+002, 3.7147599E+002, 2.7339325E+002
 3.0100000E+003, 7.8713485E+002, 6.4539450E+002, 4.5341147E+002, 3.8308676E+002, 3.7199031E+002, 2.7396558E+002
 3.0200000E+003, 7.8715142E+002, 6.4559533E+002, 4.5386668E+002, 3.8359114E+002, 3.7258860E+002, 2.7463165E+002
 3.0300000E+003, 7.8716795E+002, 6.4579559E+002, 4.5432059E+002, 3.8409421E+002, 3.7318502E+002, 2.7529594E+002
 3.0400000E+003, 7.8718208E+002, 6.4596679E+002, 4.5470863E+002, 3.8452436E+002, 3.7369476E+002, 2.7586392E+002
 3.0500000E+003, 7.8719852E+002, 6.4616600E+002, 4.5516015E+002, 3.8502498E+002, 3.7428774E+002, 2.7652493E+002
 3.0600000E+003, 7.8721491E+002, 6.4636466E+002, 4.5561040E+002, 3.8552429E+002, 3.7487888E+002, 2.7718418E+002
 3.0700000E+003, 7.8722893E+002, 6.4653449E+002, 4.5599531E+002, 3.8595124E+002, 3.7538412E+002, 2.7774786E+002
 3.0800000E+003, 7.8724524E+002, 6.4673211E+002, 4.5644320E+002, 3.8644813E+002, 3.7597187E+002, 2.7840386E+002
 3.0900000E+003, 7.8726151E+002, 6.4692918E+002, 4.5688983E+002, 3.8694374E+002, 3.7655782E+002, 2.7905813E+002
 3.1000000E+003, 7.8727541E+002, 6.4709766E+002, 4.5727166E+002, 3.8736753E+002, 3.7705863E+002, 2.7961756E+002
 3.1100000E+003, 7.8729159E+002, 6.4729371E+002, 4.5771596E+002, 3.8786075E+002, 3.7764126E+002, 2.8026862E+002
 3.1200000E+003, 7.8730773E+002, 6.4748921E+002, 4.5815902E+002, 3.8835270E+002, 3.7822210E+002, 2.8091796E+002
 3.1300000E+003, 7.8732153E+002, 6.4765636E+002, 4.5853781E+002, 3.8877336E+002, 3.7871856E+002, 2.8147318E+002
 3.1400000E+003, 7.8733758E+002, 6.4785086E+002, 4.5897858E+002, 3.8926295E+002, 3.7929613E+002, 2.8211934E+002
 3.1500000E+003, 7.8735359E+002, 6.4804482E+002, 4.5941812E+002, 3.8975128E+002, 3.7987195E+002, 2.8276381E+002
 3.1600000E+003, 7.8736728E+002, 6.4821065E+002, 4.5979390E+002, 3.9016885E+002, 3.8036412E+002, 2.8331487E+002
 3.1700000E+003, 7.8738321E+002, 6.4840362E+002, 4.6023118E+002, 3.9065486E+002, 3.8093672E+002, 2.8395620E+002
 3.1800000E+003, 7.8739909E+002, 6.4859607E+002, 4.6066725E+002, 3.9113962E+002, 3.8150760E+002, 2.8459585E+002
 3.1900000E+003, 7.8741268E+002, 6.4876060E+002, 4.6104007E+002, 3.9155414E+002, 3.8199556E+002, 2.8514278E+002
 3.2000000E+003, 7.8742848E+002, 6.4895206E+002, 4.6147391E+002, 3.9203660E+002, 3.8256327E+002, 2.8577933E+002
 3.2100000E+003, 7.8744424E+002, 6.4914301E+002, 4.6190655E+002, 3.9251783E+002, 3.8312928E+002, 2.8641421E+002
 3.2200000E+003, 7.8745772E+002, 6.4930626E+002, 4.6227645E+002, 3.9292934E+002, 3.8361309E+002, 2.8695708E+002
 3.2300000E+003, 7.8747341E+002, 6.4949623E+002, 4.6270689E+002, 3.9340830E+002, 3.8417598E+002, 2.8758889E+002
 3.2400000E+003, 7.8748905E+002, 6.4968570E+002, 4.6313615E+002, 3.9388604E+002, 3.8473720E+002, 2.8821905E+002
 3.2500000E+003, 7.8750242E+002, 6.4984768E+002, 4.6350315E+002, 3.9429457E+002, 3.8521693E+002, 2.8875789E+002
 3.2600000E+003, 7.8751798E+002, 6.5003619E+002, 4.6393024E+002, 3.9477007E+002, 3.8577507E+002, 2.8938502E+002
 3.2700000E+003, 7.8753351E+002, 6.5022419E+002, 4.6435617E+002, 3.9524436E+002, 3.8633158E+002, 2.9001052E+002
 3.2800000E+003, 7.8754678E+002, 6.5038493E+002, 4.6472032E+002, 3.9564994E+002, 3.8680728E+002, 2.9054537E+002
 3.2900000E+003, 7.8756222E+002, 6.5057199E+002, 4.6514410E+002, 3.9612201E+002, 3.8736076E+002, 2.9116786E+002
 3.3000000E+003, 7.8757762E+002, 6.5075855E+002, 4.6556672E+002, 3.9659290E+002, 3.8791261E+002, 2.9178875E+002
 3.3100000E+003, 7.8759079E+002, 6.5091805E+002, 4.6592807E+002, 3.9699557E+002, 3.8838435E+002, 2.9231966E+002
 3.3200000E+003, 7.8760612E+002, 6.5110368E+002, 4.6634857E+002, 3.9746426E+002, 3.8893323E+002, 2.9293757E+002
 3.3300000E+003, 7.8762141E+002, 6.5128881E+002, 4.6676794E+002, 3.9793177E+002, 3.8948051E+002, 2.9355389E+002
 3.3400000E+003, 7.8763448E+002, 6.5144711E+002, 4.6712650E+002, 3.9833156E+002, 3.8994834E+002, 2.9408090E+002
 3.3500000E+003, 7.8764969E+002, 6.5163132E+002, 4.6754378E+002, 3.9879691E+002, 3.9049268E+002, 2.9469427E+002
 3.3600000E+003, 7.8766486E+002, 6.5181505E+002, 4.6795994E+002, 3.9926109E+002, 3.9103545E+002, 2.9530608E+002
 3.3700000E+003, 7.8767783E+002, 6.5197213E+002, 4.6831575E+002, 3.9965803E+002, 3.9149943E+002, 2.9582923E+002
 3.3800000E+003, 7.8769293E+002, 6.5215495E+002, 4.6872984E+002, 4.0012006E+002, 3.9203930E+002, 2.9643812E+002
 3.3900000E+003, 7.8770799E+002, 6.5233729E+002, 4.6914282E+002, 4.0058095E+002, 3.9257762E+002, 2.9704545E+002
 3.4000000E+003, 7.8772086E+002, 6.5249319E+002, 4.6949593E+002, 4.0097508E+002, 3.9303781E+002, 2.9756478E+002
 3.4100000E+003, 7.8773585E+002, 6.5267463E+002, 4.6990686E+002, 4.0143384E+002, 3.9357327E+002, 2.9816923E+002
 3.4200000E+003, 7.8775079E+002, 6.5285559E+002, 4.7031671E+002, 4.0189146E+002, 3.9410721E+002, 2.9877214E+002
 3.4300000E+003, 7.8776357E+002, 6.5301033E+002, 4.7066713E+002, 4.0228281E+002, 3.9456366E+002, 2.9928769E+002
 3.4400000E+003, 7.8777844E+002, 6.5319040E+002, 4.7107496E+002, 4.0273833E+002, 3.9509478E+002, 2.9988775E+002
 3.4500000E+003, 7.8779328E+002, 6.5337001E+002, 4.7148170E+002, 4.0319273E+002, 3.9562439E+002, 3.0048628E+002
 3.4600000E+003, 7.8780596E+002, 6.5352358E+002, 4.7182948E+002, 4.0358132E+002, 3.9607715E+002, 3.0099809E+002
 3.4700000E+003, 7.8782072E+002, 6.5370231E+002, 4.7223422E+002, 4.0403364E+002, 3.9660399E+002, 3.0159380E+002
 3.4800000E+003, 7.8783545E+002, 6.5388058E+002, 4.7263790E+002, 4.0448485E+002, 3.9712933E+002, 3.0218800E+002
 3.4900000E+003, 7.8784804E+002, 6.5403301E+002, 4.7298307E+002, 4.0487072E+002, 3.9757846E+002, 3.0269611E+002
 3.5000000E+003, 7.8786269E+002, 6.5421041E+002, 4.7338477E+002, 4.0531987E+002, 3.9810106E+002, 3.0328752E+002
 3.5100000E+003, 7.8787731E+002, 6.5438735E+002, 4.7378543E+002, 4.0576792E+002, 3.9862221E+002, 3.0387743E+002
 3.5200000E+003, 7.8788980E+002, 6.5453864E+002, 4.7412800E+002, 4.0615109E+002, 3.9906774E+002, 3.0438189E+002
 3.5300000E+003, 7.8790435E+002, 6.5471473E+002, 4.7452671E+002, 4.0659711E+002, 3.9958618E+002, 3.0496904E+002
 3.5400000E+003, 7.8791886E+002, 6.5489036E+002, 4.7492436E+002, 4.0704204E+002, 4.0010317E+002, 3.0555471E+002
 3.5500000E+003, 7.8793126E+002, 6.5504054E+002, 4.7526439E+002, 4.0742255E+002, 4.0054516E+002, 3.0605553E+002
 3.5600000E+003, 7.8794570E+002, 6.5521533E+002, 4.7566012E+002, 4.0786546E+002, 4.0105949E+002, 3.0663847E+002
 3.5700000E+003, 7.8796010E+002, 6.5538967E+002, 4.7605482E+002, 4.0830730E+002, 4.0157238E+002, 3.0721994E+002
 3.5800000E+003, 7.8797242E+002, 6.5553874E+002, 4.7639232E+002, 4.0868517E+002, 4.0201088E+002, 3.0771718E+002
 3.5900000E+003, 7.8798675E+002, 6.5571224E+002, 4.7678512E+002, 4.0912502E+002, 4.0252114E+002, 3.0829595E+002
 3.6000000E+003, 7.8800105E+002, 6.5588530E+002, 4.7717689E+002, 4.0956380E+002, 4.0303000E+002, 3.0887326E+002
