t,001_N_ITERATIONS( 0.0050_ 0.0000_ 0.0000),002_TEMPERATURE( 0.0000_ 0.0000_ 0.0000),003_TEMPERATURE( 0.0080_ 0.0000_ 0.0000),004_TEMPERATURE( 0.0160_ 0.0000_ 0.0000),005_TEMPERATURE( 0.0400_ 0.0000_ 0.0000),
        62.0000,        1.0000000,       77.1739340,       31.8567945,       26.9722713,       26.8500003,
        63.0000,        1.0000000,       77.5781650,       32.0174554,       26.9823674,       26.8500003,
        64.0000,        1.0000000,       77.9792002,       32.1791791,       26.9929827,       26.8500003,
        65.0000,        1.0000000,       78.3771143,       32.3419197,       27.0041251,       26.8500003,
        66.0000,        1.0000000,       78.7719790,       32.5056327,       27.0158022,       26.8500003,
        67.0000,        1.0000000,       79.1638634,       32.6702755,       27.0280210,       26.8500003,
        68.0000,        1.0000000,       79.5528339,       32.8358073,       27.0407881,       26.8500003,
        69.0000,        1.0000000,       79.9389545,       33.0021887,       27.0541096,       26.8500003,
        70.0000,        1.0000000,       80.3222871,       33.1693818,       27.0679911,       26.8500003,
        71.0000,        1.0000000,       80.7028911,       33.3373502,       27.0824377,       26.8500003,
        72.0000,        1.0000000,       81.0808240,       33.5060591,       27.0974543,       26.8500003,
        73.0000,        1.0000000,       81.4561413,       33.6754747,       27.1130452,       26.8500003,
        74.0000,        1.0000000,       81.8288965,       33.8455646,       27.1292144,       26.8500003,
        75.0000,        1.0000000,       82.1991414,       34.0162979,       27.1459652,       26.8500003,
        76.0000,        1.0000000,       82.5669261,       34.1876445,       27.1633011,       26.8500003,
        77.0000,        1.0000000,       82.9322989,       34.3595756,       27.1812246,       26.8500003,
        78.0000,        1.0000000,       83.2953066,       34.5320635,       27.1997383,       26.8500004,
        79.0000,        1.0000000,       83.6559947,       34.7050816,       27.2188443,       26.8500004,
        80.0000,        1.0000000,       84.0144070,       34.8786042,       27.2385443,       26.8500004,
        81.0000,        1.0000000,       84.3705861,       35.0526065,       27.2588397,       26.8500004,
        82.0000,        1.0000000,       84.7245732,       35.2270648,       27.2797317,       26.8500004,
        83.0000,        1.0000000,       85.0764082,       35.4019562,       27.3012212,       26.8500004,
