t,001_TEMPERATURE( 0.0000_ 0.0000_ 0.0000),002_THERMAL_CONDUCTIVITY_Z( 0.0000_ 0.0000_ 0.0000),003_SPECIFIC_HEAT_CAPACITY( 0.0000_ 0.0000_ 0.0000),004_SOLID_DENSITY( 0.0000_ 0.0000_ 0.0000),005_BULK_DENSITY( 0.0000_ 0.0000_ 0.0000),
       580.0000,      606.8500000,        0.2914785,     2140.6226845,     1600.0000000,     1430.0000000,
       590.0000,      616.8500000,        0.2926335,     2147.8914229,     1600.0000000,     1430.0000000,
       600.0000,      626.8500000,        0.2937801,     2155.1032140,     1600.0000000,     1430.0000000,
       610.0000,      636.8500000,        0.2949185,     2162.2591294,     1600.0000000,     1430.0000000,
       620.0000,      646.8500000,        0.2960488,     2169.3602091,     1600.0000000,     1430.0000000,
       630.0000,      656.8500000,        0.2971711,     2176.4074623,     1600.0000000,     1430.0000000,
       640.0000,      666.8500000,        0.2982856,     2183.4018695,     1600.0000000,     1430.0000000,
       650.0000,      676.8500000,        0.2993924,     2190.3443829,     1600.0000000,     1430.0000000,
       660.0000,      686.8500000,        0.3004917,     2197.2359276,     1600.0000000,     1430.0000000,
       670.0000,      696.8500000,        0.3015836,     2204.0774030,     1600.0000000,     1430.0000000,
       680.0000,      706.8500000,        0.3026681,     2210.8696834,     1600.0000000,     1430.0000000,
       690.0000,      716.8500000,        0.3037455,     2217.6136193,     1600.0000000,     1430.0000000,
       700.0000,      726.8500000,        0.3048159,     2224.3100380,     1600.0000000,     1430.0000000,
       710.0000,      736.8500000,        0.3058793,     2230.9597443,     1600.0000000,     1430.0000000,
       720.0000,      746.8500000,        0.3069358,     2237.5635219,     1600.0000000,     1430.0000000,
       730.0000,      756.8500000,        0.3079857,     2244.1221336,     1600.0000000,     1430.0000000,
       740.0000,      766.8500000,        0.3090290,     2250.6363224,     1600.0000000,     1430.0000000,
       750.0000,      776.8500000,        0.3100658,     2257.1068120,     1600.0000000,     1430.0000000,
       760.0000,      786.8500000,        0.3110961,     2263.5343076,     1600.0000000,     1430.0000000,
       770.0000,      796.8500000,        0.3121202,     2269.9194965,     1600.0000000,     1430.0000000,
       780.0000,      806.8500000,        0.3131381,     2276.2630487,     1600.0000000,     1430.0000000,
       790.0000,      816.8500000,        0.3141498,     2282.5656174,     1600.0000000,     1430.0000000,
       800.0000,      826.8500000,        0.3151556,     2288.8278398,     1600.0000000,     1430.0000000,
       810.0000,      836.8500000,        0.3161554,     2295.0503375,     1600.0000000,     1430.0000000,
       820.0000,      846.8500000,        0.3171494,     2301.2337170,     1600.0000000,     1430.0000000,
       830.0000,      856.8500000,        0.3181376,     2307.3785702,     1600.0000000,     1430.0000000,
       840.0000,      866.8500000,        0.3191202,     2313.4854749,     1600.0000000,     1430.0000000,
