Time (s),Depth 0.0 cm,Depth 0.8 cm,Depth 1.6 cm,Depth 4.0 cm
0.0,27.0,27.0,27.0,27.0
2.0134228187919465,36.06890781461091,27.000000000000053,27.0,27.0
4.026845637583893,39.825372427334095,27.000000246248668,27.0,27.0
6.0402684563758395,42.70780910406452,27.00005136346748,27.0,27.0
8.053691275167786,45.13781562922182,27.000828035058667,27.00000000000011,27.0
10.067114093959733,47.27869435514906,27.00467635075166,27.0000000000467,27.0
12.080536912751679,49.21419667013562,27.015445795036396,27.00000000276399,27.0
14.093959731543626,50.99407474043072,27.037300436787497,27.000000052686612,27.0
16.107382550335572,52.65074485466819,27.07376621605497,27.00000049249734,27.0
18.120805369127517,54.20672344383273,27.12735351528249,27.000002854472037,27.0
20.134228187919465,55.67840458427052,27.199563308016042,27.000011815555744,27.0
22.147651006711413,57.07816447938636,27.291057442668144,27.0000382313197,27.0
24.161073825503358,58.415618208129054,27.401865162682796,27.000102726934966,27.0
26.174496644295303,59.6984121380357,27.531570082832996,27.000239060046496,27.0
28.18791946308725,60.93274591451083,27.67946040945176,27.000496572078426,27.0
30.2013422818792,62.12372893427835,27.84464213549743,27.000941352995007,27.0
32.214765100671144,63.27563125844364,28.026120928681358,27.00165607011734,27.0
34.22818791946309,64.3920648286302,28.22285958295486,27.002738646054702,27.0
36.241610738255034,65.47611728200228,28.433817216549134,27.004300089662554,27.0
38.255033557046985,66.53045269217526,28.65797520128164,27.00646180897861,27.0
40.26845637583893,67.55738871029811,28.89435362696907,27.009352701503317,27.0
42.281879194630875,68.55895653103103,29.142021115035387,27.013106256090538,27.0
44.29530201342283,69.53694813803686,29.400100024071023,27.01785783349841,27.000000000000004
46.30872483221477,70.49295397932806,29.66776851178159,27.023742231437225,27.00000000000002
48.322147651006716,71.42839334027124,29.944260493720247,27.03089159007279,27.000000000000078
50.33557046979866,72.34453907305453,30.22886423243869,27.03943365653386,27.000000000000274
52.348993288590606,73.24253791367511,30.520920070653407,27.04949040094679,27.000000000000878
54.36241610738256,74.12342731219357,30.81981766507339,27.061176959873297,27.000000000002565
56.3758389261745,74.98814948086144,31.124992966040214,27.074600873574994,27.000000000006974
58.38926174496645,75.83756320238976,31.435925109197818,27.089861579284175,27.000000000017717
60.4026845637584,76.67245381997273,31.752133329721794,27.10705012198197,27.00000000004237
62.416107382550344,77.49354173998131,32.073173970512684,27.126249045798108,27.000000000095937
64.42953020134229,78.30148970933638,32.39863762841429,27.147532432109937,27.00000000020669
66.44295302013424,79.09690907671066,32.728146463552065,27.170966054065367,27.000000000425622
68.45637583892618,79.88036520578282,33.06135168386106,27.196607621133666,27.00000000084104
70.46979865771813,80.65238217681372,33.397931208062886,27.224507091107625,27.000000001600338
72.48322147651007,81.41344688766546,33.73758750451362,27.254707030564976,27.00000000294144
74.49664429530202,82.16401264544396,34.08004559960595,27.28724300805072,27.00000000523684
76.51006711409397,82.90450232402227,34.42505124713306,27.322144007124514,27.000000009053558
78.52348993288591,83.63531114990471,34.77236924876756,27.35943284892303,27.000000015232796
80.53691275167786,84.35680916854103,35.12178191525187,27.399126616032085,27.000000024993316
82.55033557046981,85.06934343477928,35.473087657811604,27.441237071276046,27.000000040062737
84.56375838926175,85.77323996425801,35.8260996995312,27.48577106654651,27.00000006284113
86.5771812080537,86.46880547687304,36.180644896854986,27.53273093804457,27.00000009660112
88.59060402684565,87.15632895877272,36.536562661918225,27.58211488533629,27.000000145728563
90.60402684563759,87.83608306544716,36.89370397701808,27.633917332452608,27.000000216007635
92.61744966442954,88.50832538523461,37.25193049316339,27.688129269931963,27.00000031495359
94.63087248322148,89.17329957985027,37.61111370526859,27.744738577233715,27.000000452195984
96.64429530201343,89.83123641625811,37.97113419716845,27.803730325365592,27.000000639914518
98.65771812080538,90.48235470227635,38.33188095021102,27.86508705988918,27.00000089332889
