Time (s),Temperature at x=0.0m (°C),Temperature at x=0.04m (°C),Temperature at x=0.1m (°C)
0.0,20.0,0.6750992232022099,399.9999999999957
141.41414141414143,20.0,0.49173301131807534,399.99999999999994
282.82828282828285,20.0,6.509610710697956,399.99999999999994
424.24242424242425,20.0,19.159418777149256,400.0
565.6565656565657,20.0,34.45310032945051,400.0
707.0707070707072,20.0,49.907773841854336,400.0
848.4848484848485,20.0,64.45823334922598,400.0
989.89898989899,20.0,77.70879563868161,400.0
1131.3131313131314,20.0,89.56247181472126,400.0
1272.7272727272727,20.0,100.05704956792479,400.0
1414.1414141414143,20.0,109.28945391215944,400.0
1555.5555555555557,20.0,117.37894191004233,400.0
1696.969696969697,20.0,124.44875116655612,400.0
1838.3838383838386,20.0,130.61709315191794,400.0
1979.79797979798,20.0,135.99305052663107,400.0
2121.2121212121215,20.0,140.6750725279552,400.0
2262.626262626263,20.0,144.75082686846673,400.0
2404.040404040404,20.0,148.29772918447594,400.0
2545.4545454545455,20.0,151.3837785181946,400.0
2686.8686868686873,20.0,154.06849806897816,400.0
2828.2828282828286,20.0,156.40387577089925,400.0
2969.69696969697,20.0,158.43525232779822,400.0
3111.1111111111113,20.0,160.20213359961383,400.0
3252.5252525252527,20.0,161.73892006472704,400.0
3393.939393939394,20.0,163.0755543612875,400.0
3535.353535353536,20.0,164.23809197271336,400.0
3676.767676767677,20.0,165.24920186140702,400.0
3818.1818181818185,20.0,166.1286043407575,400.0
3959.59595959596,20.0,166.89345331106708,400.0
4101.010101010102,20.0,167.55866950608595,400.0
4242.424242424243,20.0,168.13723078806822,400.0
4383.838383838384,20.0,168.64042488981087,400.0
4525.252525252526,20.0,169.0780693830591,400.0
4666.666666666667,20.0,169.45870307821986,400.0
4808.080808080808,20.0,169.78975254011328,400.0
4949.49494949495,20.0,170.0776769402567,400.0
5090.909090909091,20.0,170.32809405567053,400.0
5232.323232323232,20.0,170.54588986330677,400.0
5373.737373737375,20.0,170.73531386311413,400.0
5515.151515151516,20.0,170.9000619865817,400.0
5656.565656565657,20.0,171.04334870668237,400.0
5797.979797979799,20.0,171.1679697551877,400.0
5939.39393939394,20.0,171.27635667049003,400.0
6080.808080808081,20.0,171.37062423991307,400.0
6222.222222222223,20.0,171.45261176199253,400.0
6363.636363636364,20.0,171.52391893370842,400.0
6505.050505050505,20.0,171.5859370628196,400.0
6646.464646464647,20.0,171.6398762142651,400.0
6787.878787878788,20.0,171.6867888202773,400.0
6929.29292929293,20.0,171.72759021486465,400.0
7070.707070707072,20.0,171.76307649331468,400.0
7212.121212121213,20.0,171.7939400451789,400.0
7353.535353535354,20.0,171.82078306380913,400.0
7494.949494949496,20.0,171.8441292960344,400.0
7636.363636363637,20.0,171.86443426123196,400.0
7777.777777777778,20.0,171.88209413918065,400.0
7919.19191919192,20.0,171.89745350011134,400.0
8060.606060606061,20.0,171.91081202777957,400.0
8202.020202020203,20.0,171.92243036673693,400.0
8343.434343434345,20.0,171.93253520789008,400.0
8484.848484848486,20.0,171.94132371157414,400.0
8626.262626262627,20.0,171.94896735444138,400.0
8767.676767676769,20.0,171.9556152752231,400.0
8909.09090909091,20.0,171.9613971846461,400.0
9050.505050505051,20.0,171.96642589627993,400.0
9191.919191919193,20.0,171.97079952769576,400.0
9333.333333333334,20.0,171.9746034148849,400.0
9474.747474747475,20.0,171.97791177728948,400.0
9616.161616161617,20.0,171.9807891659332,400.0
9757.575757575758,20.0,171.98329172290687,400.0
9898.9898989899,20.0,171.9854682767833,400.0
10040.40404040404,20.0,171.98736129533467,400.0
10181.818181818182,20.0,171.98900771414128,400.0
10323.232323232323,20.0,171.99043965725923,400.0
10464.646464646465,20.0,171.99168506400804,400.0
10606.060606060608,20.0,171.99276823410779,400.0
10747.47474747475,20.0,171.99371030180262,400.0
10888.88888888889,20.0,171.99452964822098,400.0
11030.303030303032,20.0,171.99524226001833,400.0
11171.717171717173,20.0,171.99586204130054,400.0
11313.131313131315,20.0,171.99640108491332,400.0
11454.545454545456,20.0,171.9968699083916,400.0
11595.959595959597,20.0,171.997277659172,400.0
11737.373737373739,20.0,171.99763229307285,400.0
11878.78787878788,20.0,171.99794072952395,400.0
12020.202020202021,20.0,171.99820898657478,400.0
12161.616161616163,20.0,171.99844229831552,400.0
12303.030303030304,20.0,171.99864521700192,400.0
12444.444444444445,20.0,171.99882170187644,400.0
12585.858585858587,20.0,171.99897519641894,400.0
12727.272727272728,20.0,171.99910869553403,400.0
12868.68686868687,20.0,171.99922480398612,400.0
13010.10101010101,20.0,171.99932578722215,400.0
13151.515151515152,20.0,171.99941361557376,400.0
13292.929292929293,20.0,171.99949000270146,400.0
13434.343434343435,20.0,171.99955643903064,400.0
13575.757575757576,20.0,171.99961422083194,400.0
13717.17171717172,20.0,171.99966447551344,400.0
13858.58585858586,20.0,171.999708183618,400.0
14000.0,20.0,171.99974619795506,400.0
