t,001_MLR( 0.0000_ 0.0000_ 0.0000),
       229.9000,        8.1092451,
       230.9000,        8.2059943,
       231.9000,        8.2961736,
       232.9000,        8.3799855,
       233.9000,        8.4576580,
       234.9000,        8.5294398,
       235.9000,        8.5955946,
       236.9000,        8.6563966,
       237.9000,        8.7121261,
       238.9000,        8.7630659,
       239.9000,        8.8094979,
       240.9000,        8.8517001,
       241.9000,        8.8899447,
       242.9000,        8.9244956,
       243.9000,        8.9556071,
       244.9000,        8.9835228,
       245.9000,        9.0084747,
       246.9000,        9.0306824,
       247.9000,        9.0503531,
       248.9000,        9.0676816,
       249.9000,        9.0828500,
       250.9000,        9.0960279,
       251.9000,        9.1073733,
       252.9000,        9.1170326,
       253.9000,        9.1251410,
       254.9000,        9.1318233,
       255.9000,        9.1371945,
       256.9000,        9.1413600,
       257.9000,        9.1444168,
       258.9000,        9.1464535,
       259.9000,        9.1475512,
       260.9000,        9.1477839,
       261.9000,        9.1472193,
       262.9000,        9.1459189,
       263.9000,        9.1439389,
       264.9000,        9.1413303,
       265.9000,        9.1381396,
       266.9000,        9.1344089,
       267.9000,        9.1301765,
       268.9000,        9.1254774,
       269.9000,        9.1203432,
       270.9000,        9.1148026,
       271.9000,        9.1088816,
       272.9000,        9.1026040,
       273.9000,        9.0959911,
       274.9000,        9.0890626,
       275.9000,        9.0818362,
       276.9000,        9.0743279,
       277.9000,        9.0665523,
       278.9000,        9.0585228,
       279.9000,        9.0502514,
       280.9000,        9.0417490,
       281.9000,        9.0330257,
       282.9000,        9.0240906,
       283.9000,        9.0149517,
       284.9000,        9.0056168,
       285.9000,        8.9960925,
       286.9000,        8.9863851,
       287.9000,        8.9765002,
       288.9000,        8.9664429,
       289.9000,        8.9562179,
       290.9000,        8.9458294,
       291.9000,        8.9352811,
       292.9000,        8.9245767,
       293.9000,        8.9137190,
       294.9000,        8.9027110,
       295.9000,        8.8915552,
       296.9000,        8.8802538,
       297.9000,        8.8688087,
       298.9000,        8.8572218,
       299.9000,        8.8454946,
       300.9000,        8.8336283,
       301.9000,        8.8216242,
       302.9000,        8.8094832,
       303.9000,        8.7972060,
       304.9000,        8.7847933,
       305.9000,        8.7722455,
       306.9000,        8.7595629,
       307.9000,        8.7467457,
       308.9000,        8.7337938,
       309.9000,        8.7207071,
       310.9000,        8.7074854,
       311.9000,        8.6941281,
       312.9000,        8.6806349,
       313.9000,        8.6670050,
       314.9000,        8.6532376,
       315.9000,        8.6393319,
       316.9000,        8.6252868,
       317.9000,        8.6111011,
       318.9000,        8.5967735,
       319.9000,        8.5823026,
       320.9000,        8.5676870,
       321.9000,        8.5529248,
       322.9000,        8.5380144,
       323.9000,        8.5229538,
       324.9000,        8.5077361,
