t,001_MLR( 0.0000_ 0.0000_ 0.0000),
       226.0600,        7.9593718,
       227.0605,        8.0672116,
       228.0610,        8.1681140,
       229.0615,        8.2622400,
       230.0620,        8.3497860,
       231.0625,        8.4309777,
       232.0630,        8.5060638,
       233.0635,        8.5753105,
       234.0640,        8.6389983,
       235.0645,        8.6974121,
       236.0650,        8.7508390,
       237.0655,        8.7995716,
       238.0660,        8.8438979,
       239.0665,        8.8840996,
       240.0670,        8.9204505,
       241.0675,        8.9532150,
       242.0680,        8.9826464,
       243.0685,        9.0089864,
       244.0690,        9.0324641,
       245.0695,        9.0532956,
       246.0700,        9.0716842,
       247.0705,        9.0878202,
       248.0710,        9.1018754,
       249.0715,        9.1140239,
       250.0720,        9.1244170,
       251.0725,        9.1331949,
       252.0730,        9.1404876,
       253.0735,        9.1464151,
       254.0740,        9.1510875,
       255.0745,        9.1546062,
       256.0750,        9.1570637,
       257.0755,        9.1585448,
       258.0760,        9.1591269,
       259.0765,        9.1588804,
       260.0770,        9.1578698,
       261.0775,        9.1561535,
       262.0780,        9.1537849,
       263.0785,        9.1508124,
       264.0790,        9.1472800,
       265.0795,        9.1432276,
       266.0800,        9.1386917,
       267.0805,        9.1337052,
       268.0810,        9.1282979,
       269.0815,        9.1224970,
       270.0820,        9.1163273,
       271.0825,        9.1098110,
       272.0830,        9.1029685,
       273.0835,        9.0958182,
       274.0840,        9.0883768,
       275.0845,        9.0806596,
       276.0850,        9.0726804,
       277.0855,        9.0644517,
       278.0860,        9.0559850,
       279.0865,        9.0472906,
       280.0870,        9.0383779,
       281.0875,        9.0292556,
       282.0880,        9.0199315,
       283.0885,        9.0104126,
       284.0890,        9.0007054,
       285.0895,        8.9908158,
       286.0900,        8.9807491,
       287.0905,        8.9705102,
       288.0910,        8.9601034,
       289.0915,        8.9495326,
       290.0920,        8.9388016,
       291.0925,        8.9279136,
       292.0930,        8.9168714,
       293.0935,        8.9056777,
       294.0940,        8.8943348,
       295.0945,        8.8828448,
       296.0950,        8.8712096,
       297.0955,        8.8594307,
       298.0960,        8.8475095,
       299.0965,        8.8354473,
       300.0970,        8.8232450,
       301.0975,        8.8109034,
       302.0980,        8.7984233,
       303.0985,        8.7858049,
       304.0990,        8.7730488,
       305.0995,        8.7601550,
       306.1000,        8.7471235,
       307.1005,        8.7339542,
       308.1010,        8.7206469,
       309.1015,        8.7072011,
       310.1020,        8.6936162,
       311.1025,        8.6798917,
       312.1030,        8.6660267,
