Time (s),Temp_at_0.0000m,Temp_at_0.0400m,Temp_at_0.1000m
549.0982,170.3297,269.4915,118.8108
553.1062,170.8518,271.0463,119.7385
557.1142,171.3709,272.5966,120.6687
561.1222,171.8871,274.1424,121.6014
565.1303,172.4004,275.6838,122.5367
569.1383,172.9108,277.2207,123.4745
573.1463,173.4183,278.7532,124.4147
577.1543,173.9231,280.2814,125.3574
581.1623,174.4250,281.8051,126.3026
585.1703,174.9242,283.3245,127.2503
589.1784,175.4207,284.8396,128.2003
593.1864,175.9146,286.3504,129.1528
597.1944,176.4057,287.8568,130.1077
601.2024,176.8942,289.3590,131.0650
605.2104,177.3801,290.8569,132.0247
609.2184,177.8635,292.3506,132.9867
613.2265,178.3443,293.8401,133.9510
617.2345,178.8225,295.3253,134.9177
621.2425,179.2983,296.8064,135.8868
625.2505,179.7716,298.2833,136.8581
629.2585,180.2424,299.7561,137.8317
633.2665,180.7109,301.2247,138.8076
637.2745,181.1769,302.6893,139.7857
641.2826,181.6405,304.1497,140.7661
645.2906,182.1019,305.6061,141.7487
649.2986,182.5608,307.0585,142.7335
653.3066,183.0175,308.5068,143.7205
657.3146,183.4719,309.9511,144.7097
661.3226,183.9240,311.3914,145.7011
665.3307,184.3740,312.8278,146.6946
669.3387,184.8216,314.2602,147.6902
673.3467,185.2671,315.6887,148.6880
677.3547,185.7105,317.1133,149.6879
681.3627,186.1517,318.5340,150.6898
685.3707,186.5907,319.9508,151.6939
689.3788,187.0277,321.3638,152.6999
693.3868,187.4625,322.7729,153.7081
697.3948,187.8953,324.1782,154.7182
701.4028,188.3260,325.5797,155.7304
705.4108,188.7547,326.9775,156.7446
709.4188,189.1814,328.3715,157.7607
713.4269,189.6061,329.7617,158.7788
717.4349,190.0289,331.1483,159.7989
721.4429,190.4496,332.5311,160.8208
725.4509,190.8685,333.9103,161.8447
729.4589,191.2854,335.2858,162.8705
733.4669,191.7004,336.6577,163.8982
737.4749,192.1135,338.0259,164.9278
741.4830,192.5248,339.3906,165.9592
745.4910,192.9342,340.7516,166.9924
749.4990,193.3418,342.1091,168.0275
753.5070,193.7476,343.4630,169.0644
757.5150,194.1515,344.8134,170.1030
761.5230,194.5537,346.1603,171.1435
765.5311,194.9541,347.5037,172.1857
769.5391,195.3527,348.8436,173.2296
773.5471,195.7497,350.1801,174.2753
777.5551,196.1448,351.5131,175.3226
781.5631,196.5383,352.8427,176.3717
785.5711,196.9301,354.1689,177.4225
789.5792,197.3202,355.4918,178.4749
793.5872,197.7086,356.8112,179.5290
797.5952,198.0954,358.1273,180.5847
801.6032,198.4806,359.4401,181.6420
805.6112,198.8641,360.7495,182.7009
809.6192,199.2460,362.0557,183.7614
813.6273,199.6264,363.3585,184.8235
817.6353,200.0051,364.6581,185.8872
821.6433,200.3823,365.9545,186.9524
825.6513,200.7579,367.2476,188.0191
829.6593,201.1320,368.5375,189.0873
833.6673,201.5046,369.8243,190.1570
837.6754,201.8756,371.1078,191.2283
841.6834,202.2451,372.3882,192.3009
845.6914,202.6132,373.6654,193.3751
849.6994,202.9797,374.9395,194.4506
853.7074,203.3448,376.2105,195.5276
857.7154,203.7085,377.4784,196.6060
861.7234,204.0707,378.7433,197.6858
865.7315,204.4315,380.0050,198.7670
869.7395,204.7908,381.2637,199.8495
873.7475,205.1487,382.5194,200.9333
877.7555,205.5053,383.7721,202.0186
881.7635,205.8604,385.0218,203.1051
885.7715,206.2142,386.2685,204.1929
889.7796,206.5666,387.5122,205.2820
893.7876,206.9177,388.7530,206.3724
897.7956,207.2674,389.9908,207.4641
901.8036,207.6158,391.2257,208.5570
905.8116,207.9629,392.4577,209.6511
909.8196,208.3086,393.6868,210.7465
913.8277,208.6531,394.9131,211.8430
917.8357,208.9963,396.1365,212.9408
921.8437,209.3382,397.3570,214.0397
925.8517,209.6788,398.5748,215.1398
929.8597,210.0181,399.7897,216.2410
933.8677,210.3562,401.0018,217.3434
937.8758,210.6931,402.2111,218.4468
941.8838,211.0287,403.4176,219.5514
945.8918,211.3631,404.6214,220.6571
949.8998,211.6963,405.8225,221.7639
953.9078,212.0283,407.0208,222.8717
957.9158,212.3591,408.2165,223.9806
961.9238,212.6887,409.4094,225.0905
965.9319,213.0172,410.5996,226.2015
969.9399,213.3444,411.7872,227.3134
973.9479,213.6705,412.9721,228.4264
977.9559,213.9955,414.1544,229.5403
981.9639,214.3193,415.3340,230.6552
985.9719,214.6420,416.5111,231.7711
989.9800,214.9635,417.6855,232.8879
993.9880,215.2840,418.8574,234.0057
997.9960,215.6033,420.0266,235.1244
1002.0040,215.9215,421.1933,236.2440
1006.0120,216.2387,422.3575,237.3645
1010.0200,216.5547,423.5192,238.4858
1014.0281,216.8697,424.6783,239.6081
1018.0361,217.1836,425.8349,240.7312
1022.0441,217.4965,426.9890,241.8551
1026.0521,217.8082,428.1406,242.9799
1030.0601,218.1190,429.2898,244.1055
1034.0681,218.4287,430.4365,245.2319
1038.0762,218.7374,431.5808,246.3591
1042.0842,219.0450,432.7226,247.4871
1046.0922,219.3517,433.8621,248.6158
1050.1002,219.6573,434.9991,249.7454
1054.1082,219.9619,436.1337,250.8756
1058.1162,220.2656,437.2660,252.0067
1062.1242,220.5682,438.3958,253.1384
1066.1323,220.8699,439.5234,254.2708
1070.1403,221.1706,440.6486,255.4040
1074.1483,221.4703,441.7714,256.5378
1078.1563,221.7691,442.8919,257.6723
1082.1643,222.0669,444.0102,258.8075
1086.1723,222.3638,445.1261,259.9434
1090.1804,222.6597,446.2397,261.0799
1094.1884,222.9547,447.3511,262.2170
1098.1964,223.2488,448.4602,263.3547
1102.2044,223.5419,449.5671,264.4931
1106.2124,223.8341,450.6717,265.6321
1110.2204,224.1255,451.7741,266.7716
1114.2285,224.4159,452.8743,267.9117
1118.2365,224.7054,453.9723,269.0524
1122.2445,224.9941,455.0681,270.1937
1126.2525,225.2818,456.1617,271.3355
1130.2605,225.5687,457.2531,272.4778
1134.2685,225.8547,458.3424,273.6207
1138.2766,226.1399,459.4295,274.7641
1142.2846,226.4241,460.5145,275.9080
1146.2926,226.7076,461.5973,277.0523
1150.3006,226.9901,462.6781,278.1972
1154.3086,227.2719,463.7567,279.3426
1158.3166,227.5528,464.8333,280.4884
1162.3246,227.8329,465.9077,281.6346
1166.3327,228.1121,466.9801,282.7813
1170.3407,228.3905,468.0504,283.9285
1174.3487,228.6681,469.1187,285.0760
1178.3567,228.9449,470.1849,286.2240
1182.3647,229.2209,471.2491,287.3724
1186.3727,229.4961,472.3112,288.5211
1190.3808,229.7706,473.3714,289.6703
1194.3888,230.0442,474.4295,290.8198
1198.3968,230.3170,475.4856,291.9697
1202.4048,230.5891,476.5398,293.1200
1206.4128,230.8604,477.5920,294.2706
1210.4208,231.1309,478.6422,295.4216
1214.4289,231.4006,479.6904,296.5728
1218.4369,231.6696,480.7368,297.7244
1222.4449,231.9379,481.7811,298.8763
1226.4529,232.2054,482.8236,300.0286
1230.4609,232.4721,483.8641,301.1811
1234.4689,232.7381,484.9027,302.3338
1238.4770,233.0034,485.9395,303.4869
1242.4850,233.2680,486.9743,304.6402
1246.4930,233.5318,488.0073,305.7938
1250.5010,233.7949,489.0383,306.9477
1254.5090,234.0573,490.0675,308.1017
1258.5170,234.3190,491.0949,309.2561
1262.5251,234.5800,492.1204,310.4106
1266.5331,234.8402,493.1441,311.5653
1270.5411,235.0998,494.1660,312.7203
1274.5491,235.3587,495.1860,313.8754
1278.5571,235.6169,496.2042,315.0308
1282.5651,235.8744,497.2206,316.1863
1286.5731,236.1312,498.2352,317.3420
1290.5812,236.3874,499.2481,318.4979
1294.5892,236.6429,500.2592,319.6539
1298.5972,236.8977,501.2684,320.8101
1302.6052,237.1518,502.2760,321.9664
1306.6132,237.4053,503.2818,323.1228
1310.6212,237.6582,504.2858,324.2794
1314.6293,237.9104,505.2881,325.4361
1318.6373,238.1619,506.2887,326.5929
1322.6453,238.4128,507.2875,327.7498
1326.6533,238.6631,508.2847,328.9068
1330.6613,238.9127,509.2801,330.0639
1334.6693,239.1617,510.2739,331.2211
1338.6774,239.4101,511.2659,332.3784
1342.6854,239.6578,512.2563,333.5357
1346.6934,239.9049,513.2450,334.6930
1350.7014,240.1514,514.2320,335.8505
1354.7094,240.3973,515.2174,337.0079
1358.7174,240.6426,516.2011,338.1654
1362.7255,240.8873,517.1832,339.3230
1366.7335,241.1314,518.1637,340.4805
