time (s),MLR (kg/s),thikness (m),T(z=0),T(z=3),T(z=6),C_A (kg/m^3),C_B (kg/m^3),C_C (kg/m^3)
34.5,0.022469222666,0.018,600.3491675,363.3472775,302.2622325,1430.0,1.0649538121352423e-08,9.68017253396503e-21
35.0,0.022564502945000002,0.018,601.5224675000001,364.867265,302.54553500000003,1430.0,1.4663233496249898e-08,1.7125752563813768e-20
35.5,0.02265341669,0.018,602.6906849999999,366.3829575,302.83967,1430.0,2.0078369269474868e-08,3.0000400119127e-20
36.0,0.022736284507,0.018,603.853545,367.894275,303.1449325,1430.0,2.734768612414974e-08,5.2057350220963867e-20
36.5,0.022813327033000003,0.018,605.01096,369.40123,303.46121500000004,1430.0,3.705906232039993e-08,8.95100754072462e-20
37.0,0.02288480493,0.018,606.162865,370.90374249999996,303.78852,1430.0,4.997277668459985e-08,1.5256182574582097e-19
37.5,0.022950938891,0.018,607.308995,372.40182500000003,304.1268375,1430.0,6.706818428172481e-08,2.5783650135729237e-19
38.0,0.023011969634,0.018,608.4495175000001,373.89549250000005,304.476265,1430.0,8.960202060549947e-08,4.3221525245470303e-19
38.5,0.023068137902,0.018,609.584245,375.3846525,304.8367,1430.0,1.191810454212492e-07,7.188500044120619e-19
39.0,0.023119684466,0.018,610.7131225,376.8695175,305.20813749999996,1430.0,1.5785214266349874e-07,1.1865245078819224e-18
39.5,0.02316687012,0.018,611.8361625,378.3499,305.590575,1430.0,2.082139533022477e-07,1.9441367639960616e-18
40.0,0.023209915685,0.018,612.9533650000001,379.826005,305.98401,1430.0,2.7355459344674905e-07,3.1629600247058127e-18
40.5,0.023249052005,0.018,614.0646975,381.2978425,306.388335,1430.0,3.58020860924747e-07,5.110655043355996e-18
41.0,0.023284489951,0.018,615.1700275,382.76541999999995,306.803455,1430.0,4.668259340997506e-07,8.202935075647599e-18
41.5,0.023316450419,0.018,616.269455,384.2288425,307.22945999999996,1430.0,6.065044430937455e-07,1.3081602631243e-17
42.0,0.023345114329,0.018,617.3628249999999,385.6881175,307.6661525,1430.0,7.852212946749947e-07,2.0731735226429237e-17
42.5,0.023370682628999998,0.018,618.4502375,387.14334999999994,308.11343,1430.0,1.0131500841274908e-06,3.2656775388511246e-17
43.0,0.023393316291000003,0.018,619.531515,388.59464499999996,308.57138499999996,1430.0,1.3029313042324986e-06,5.1138725663023896e-17
43.5,0.023413186312,0.018,620.606635,390.0420075,309.03982249999996,1430.0,1.6702273643099855e-06,7.962282612551103e-17
44.0,0.023430453718,0.018,621.6756975,391.48554249999995,309.518735,1430.0,2.1343919366849877e-06,1.2328347690065945e-16
44.5,0.02344525956,0.018,622.73848,392.925255,310.007925,1430.0,2.7192791493374876e-06,1.8985285319323952e-16
45.0,0.0234577349,0.018,623.7949375,394.3612475,310.5074875,1430.0,3.4542139028649686e-06,2.9082825533789866e-16
45.5,0.02346802086,0.018,624.8451249999999,395.79352750000004,311.0171225,1430.0,4.3751535932499465e-06,4.4322325887888936e-16
46.0,0.02347623855,0.018,625.8887975,397.22229000000004,311.5368325,1429.999975,5.526091529724962e-06,6.720967646971648e-16
46.5,0.02348249914,0.018,626.9260425,398.6475425,312.06651,1429.999975,6.960711354674954e-06,1.0141877742120522e-15
47.0,0.02348692379,0.018,627.9566374999999,400.06928999999997,312.60605749999996,1429.999975,8.744373514424993e-06,1.5231202896998614e-15
47.5,0.02348960372,0.018,628.980525,401.4876325,313.15547250000003,1429.999975,1.0956479628899973e-05,2.276819564794888e-15
48.0,0.02349064015,0.018,629.997515,402.9026725,313.71445750000004,1429.999975,1.3693269841375e-05,3.3880451052740467e-15
48.5,0.02349013434,0.018,631.007495,404.3144125,314.283105,1429.99995,1.7071133270774854e-05,5.019275170280232e-15
49.0,0.02348817757,0.018,632.010485,405.72295249999996,314.86122,1429.99995,2.1230536723499858e-05,7.403687774222144e-15
49.5,0.02348483114,0.018,633.00605,407.12829999999997,315.44870000000003,1429.99995,2.634063683247469e-05,1.0874562939711969e-14
50.0,0.023480206400000002,0.018,633.9942100000001,408.5305525,316.04534750000005,1429.999925,3.260474335449958e-05,1.590642070209054e-14
50.5,0.02347435468,0.018,634.9747625,409.9297125,316.651255,1429.9999,4.0266696424249605e-05,2.317226361636807e-14
51.0,0.02346735738,0.018,635.9474725,411.325785,317.26622749999996,1429.999875,4.961835798624999e-05,3.3623026767831726e-14
51.5,0.02345927589,0.018,636.9120925,412.7190625,317.890165,1429.99985,6.100844555124952e-05,4.8597427788194556e-14
52.0,0.02345019166,0.018,637.86862,414.10925749999996,318.5229625,1429.999825,7.485279596224992e-05,6.997325438008029e-14
52.5,0.02344015612,0.018,638.8166530648595,415.496665,319.16452250000003,1429.9998,9.164628255449968e-05,1.0037510685402504e-13
53.0,0.02342922075,0.018,639.7561105605141,416.881285,319.81464750000004,1429.99975,0.00011197686125449888,1.4345873568416645e-13
53.5,0.02341746705,0.018,640.6867680562927,418.26302499999997,320.4734325,1429.9997,0.0001365416966222499,2.0429869159179783e-13
54.0,0.02340492654,0.018,641.6084905521999,419.64207749999997,321.14058,1429.999625,0.00016616616886049908,2.8991552567020884e-13
54.5,0.023391660760000002,0.018,642.521098048242,421.01845000000003,321.81609000000003,1429.99955,0.00020182546309749708,4.099897895706926e-13
55.0,0.02337772128,0.018,643.4245330444244,422.3920425,322.49986,1429.99945,0.0002446700924349978,5.778270607785613e-13
55.5,0.023363159680000002,0.018,644.3186830407509,423.763055,323.191695,1429.999325,0.0002960547818674983,8.116568430214778e-13
56.0,0.023348007559999998,0.018,645.2034255372223,425.13148749999993,323.8916875,1429.9992,0.000357572690324999,1.1363776418714608e-12
56.5,0.02333232656,0.018,646.0787480338424,426.4973425,324.599545,1429.999025,0.0004310929977599971,1.585890465629722e-12
57.0,0.0233161383,0.018,646.9446955306099,427.86062000000004,325.3152625,1429.998825,0.000518806736909995,2.2062160766219707e-12
57.5,0.023299514450000003,0.018,647.8012905275239,429.22142,326.0387425,1429.998575,0.0006232776479724936,3.0596429930906324e-12
58.0,0.0232824667,0.018,648.6486555245835,430.57964749999996,326.7698825,1429.9983,0.000747499584604995,4.230223241947952e-12
58.5,0.02326503673,0.018,649.486903021785,431.935495,327.508485,1429.997975,0.0008949652043424988,5.831063612770403e-12
59.0,0.023247276270000002,0.018,650.3160905191229,433.28887,328.25465,1429.997575,0.0010697419478199882,8.01392666357712e-12
59.5,0.023229207029999997,0.018,651.1364305165934,434.6397725,329.00817500000005,1429.9971,0.0012765590645999886,1.0981872479159768e-11
60.0,0.02321087076,0.018,651.9482255141893,435.9884,329.768865,1429.99655,0.0015209074484749882,1.5005856183061397e-11
60.5,0.02319229922,0.018,652.751600511903,437.334555,330.536815,1429.9959,0.0018091540359499864,2.044643795474561e-11
61.0,0.02317352417,0.018,653.5467355097284,438.6783375,331.3118275,1429.995125,0.002148668785649996,2.7782133054134516e-11
61.5,0.023154567400000003,0.018,654.334000507656,440.01984749999997,332.09389999999996,1429.994225,0.002547972760199982,3.764633685657512e-11
